name,first_name,last_name,email,approval_status
Ada Whitfield,Ada,Whitfield,ada@example.com,approved
Marcus Oyelaran,Marcus,Oyelaran,marcus@example.com,approved
Priya Raghunathan,Priya,Raghunathan,priya@example.com,approved
Sam Okoye,Sam,Okoye,sam@example.com,approved
Beatriz Almeida,Beatriz,Almeida,bea@example.com,approved
Jonah Kessler,Jonah,Kessler,jonah@example.com,approved
Mei-Ling Tan,Mei-Ling,Tan,meiling@example.com,approved
Devon Pratt,Devon,Pratt,devon@example.com,approved
Yusuf Demirci,Yusuf,Demirci,yusuf@example.com,approved
Harriet Blackwood,Harriet,Blackwood,harriet@example.com,waitlist
